date,pollution mask,cough medicine,breathing problem,air purifier,search_interest,city
2026-04-21,0,26,9,68,25.75,Jaipur
2026-04-22,0,27,15,67,27.25,Jaipur
2026-04-23,0,24,20,76,30.0,Jaipur
2026-04-24,0,29,9,66,26.0,Jaipur
2026-04-25,0,18,22,79,29.75,Jaipur
2026-04-26,0,19,17,100,34.0,Jaipur
2026-04-27,0,21,15,85,30.25,Jaipur
2026-04-28,0,32,14,78,31.0,Jaipur
2026-04-29,0,24,14,58,24.0,Jaipur
2026-04-30,0,25,17,82,31.0,Jaipur
2026-05-01,0,24,17,74,28.75,Jaipur
2026-05-02,0,24,18,84,31.5,Jaipur
2026-05-03,0,23,23,84,32.5,Jaipur
2026-05-04,0,24,17,62,25.75,Jaipur
2026-05-05,0,37,8,73,29.5,Jaipur
2026-05-06,0,25,12,86,30.75,Jaipur
2026-05-07,0,17,16,75,27.0,Jaipur
2026-05-08,0,26,10,81,29.25,Jaipur
2026-05-09,0,21,23,98,35.5,Jaipur
2026-05-10,0,21,15,75,27.75,Jaipur
2026-05-11,0,21,18,80,29.75,Jaipur
2026-05-12,0,14,15,91,30.0,Jaipur
2026-05-13,0,16,16,64,24.0,Jaipur
2026-05-14,0,26,19,77,30.5,Jaipur
2026-05-15,0,25,12,68,26.25,Jaipur
2026-05-16,0,31,15,76,30.5,Jaipur
2026-05-17,0,27,18,88,33.25,Jaipur
2026-05-18,0,22,13,64,24.75,Jaipur
2026-05-19,0,19,16,63,24.5,Jaipur
2026-05-20,0,21,18,58,24.25,Jaipur
2026-05-21,0,25,17,63,26.25,Jaipur
2026-05-22,0,24,13,49,21.5,Jaipur
2026-05-23,0,15,14,67,24.0,Jaipur
2026-05-24,0,25,20,69,28.5,Jaipur
2026-05-25,0,19,17,79,28.75,Jaipur
2026-05-26,0,15,12,60,21.75,Jaipur
2026-05-27,0,21,18,70,27.25,Jaipur
2026-05-28,0,29,16,84,32.25,Jaipur
2026-05-29,0,17,17,67,25.25,Jaipur
2026-05-30,0,19,20,66,26.25,Jaipur
2026-05-31,0,14,14,82,27.5,Jaipur
2026-06-01,0,27,14,71,28.0,Jaipur
2026-06-02,0,26,13,61,25.0,Jaipur
2026-06-03,0,23,17,65,26.25,Jaipur
2026-06-04,0,20,17,58,23.75,Jaipur
2026-06-05,0,23,15,63,25.25,Jaipur
2026-06-06,0,26,12,70,27.0,Jaipur
2026-06-07,0,30,17,74,30.25,Jaipur
2026-06-08,0,27,19,60,26.5,Jaipur
2026-06-09,0,21,15,57,23.25,Jaipur
2026-06-10,0,25,21,56,25.5,Jaipur
2026-06-11,0,18,13,59,22.5,Jaipur
2026-06-12,0,20,21,52,23.25,Jaipur
2026-06-13,0,22,15,54,22.75,Jaipur
2026-06-14,0,19,20,70,27.25,Jaipur
2026-06-15,0,18,21,68,26.75,Jaipur
2026-06-16,0,27,19,50,24.0,Jaipur
2026-06-17,0,23,12,53,22.0,Jaipur
2026-06-18,0,23,18,59,25.0,Jaipur
2026-06-19,0,21,16,54,22.75,Jaipur
2026-06-20,0,21,14,52,21.75,Jaipur
2026-06-21,10,19,15,58,25.5,Jaipur
2026-06-22,0,19,14,61,23.5,Jaipur
2026-06-23,0,27,17,61,26.25,Jaipur
2026-06-24,0,22,16,65,25.75,Jaipur
2026-06-25,0,23,21,46,22.5,Jaipur
2026-06-26,0,25,10,64,24.75,Jaipur
2026-06-27,0,41,14,63,29.5,Jaipur
2026-06-28,0,26,23,69,29.5,Jaipur
2026-06-29,0,26,16,68,27.5,Jaipur
2026-06-30,0,31,16,67,28.5,Jaipur
2026-07-01,0,20,13,68,25.25,Jaipur
2026-07-02,0,28,13,57,24.5,Jaipur
2026-07-03,0,23,12,71,26.5,Jaipur
2026-07-04,0,26,21,67,28.5,Jaipur
2026-07-05,0,24,14,75,28.25,Jaipur
2026-07-06,0,20,22,62,26.0,Jaipur
2026-07-07,1,23,14,51,22.25,Jaipur
2026-07-08,1,25,14,48,22.0,Jaipur
2026-07-09,2,23,15,48,22.0,Jaipur
2026-07-10,1,24,15,43,20.75,Jaipur
2026-07-11,2,25,16,47,22.5,Jaipur
2026-07-12,2,25,16,53,24.0,Jaipur
2026-07-13,2,27,16,52,24.25,Jaipur
2026-07-14,1,25,14,53,23.25,Jaipur
2026-07-15,2,26,16,47,22.75,Jaipur
2026-07-16,2,24,14,46,21.5,Jaipur
2026-07-17,2,25,15,50,23.0,Jaipur
2026-07-18,2,27,15,51,23.75,Jaipur
2026-07-19,2,27,15,51,23.75,Jaipur
2026-07-20,2,25,16,40,20.75,Jaipur
2026-07-21,2,27,16,42,21.75,Jaipur
