lat,lon,road_class,traffic_weight
26.8168274,75.7987778,trunk,0.9
26.9174309,75.8023113,trunk,0.9
26.9182068,75.8002081,primary,0.7
26.9021514,75.8464282,trunk,0.9
27.0907371,75.950588,trunk,0.9
26.9291343,75.8285742,secondary,0.5
26.9431492,75.8495893,trunk,0.9
26.9263422,75.7935634,primary,0.7
26.9307469,75.7932534,tertiary,0.3
26.9317317,75.7964873,tertiary,0.3
26.9280603,75.7931891,tertiary,0.3
26.9314188,75.7877851,tertiary,0.3
26.9273138,75.791173,primary,0.7
26.9244638,75.7889298,tertiary,0.3
26.9229944,75.7934837,primary,0.7
26.9285709,75.7978255,tertiary,0.3
26.9273103,75.7952582,tertiary,0.3
26.9295968,75.7970089,tertiary,0.3
26.9295395,75.7999323,tertiary,0.3
26.9274161,75.7982716,tertiary,0.3
26.9257454,75.7974079,tertiary,0.3
26.9286816,75.7951015,tertiary,0.3
26.9364564,75.7854697,primary,0.7
26.8789491,75.7699232,primary,0.7
27.0370296,75.7862056,secondary,0.5
26.8879234,75.7354277,trunk,0.9
26.916315,75.8171965,primary,0.7
26.8831986,75.8005745,primary,0.7
26.8784725,75.7168869,secondary,0.5
26.818791,75.7967004,trunk,0.9
26.8791202,75.7482527,trunk,0.9
26.8163764,75.7814714,primary,0.7
26.7796174,75.7578574,primary,0.7
26.8842868,75.8123288,primary,0.7
26.848905,75.8031457,primary,0.7
26.8582881,75.8114845,primary,0.7
26.8598973,75.806395,primary,0.7
26.8420235,75.8009793,primary,0.7
26.8421781,75.8014083,primary,0.7
26.8408127,75.7944904,secondary,0.5
26.8867323,75.8025274,secondary,0.5
26.9043217,75.8176482,primary,0.7
26.9102805,75.8198822,primary,0.7
26.9139545,75.8200185,primary,0.7
26.9137051,75.8199556,primary,0.7
26.9156259,75.8204855,primary,0.7
26.8986948,75.8009896,secondary,0.5
26.8979396,75.8020452,secondary,0.5
26.8920189,75.8143566,secondary,0.5
26.9018905,75.7939081,secondary,0.5
26.9027283,75.8031135,tertiary,0.3
26.9060155,75.809087,tertiary,0.3
26.9148228,75.8092034,tertiary,0.3
26.8622726,75.7979401,primary,0.7
26.8786222,75.7984995,tertiary,0.3
26.8809962,75.7829847,tertiary,0.3
26.8823542,75.7767063,tertiary,0.3
26.8995722,75.7722978,secondary,0.5
26.9211927,75.7955063,primary,0.7
26.9213751,75.8347836,primary,0.7
26.9247874,75.8181702,primary,0.7
26.9238155,75.8182794,tertiary,0.3
26.9237734,75.8226894,primary,0.7
26.9224574,75.828806,primary,0.7
26.9143281,75.8330924,tertiary,0.3
26.9171386,75.819512,tertiary,0.3
26.9252744,75.8360406,tertiary,0.3
26.898011,75.8234702,tertiary,0.3
26.9043272,75.8217375,tertiary,0.3
26.9214731,75.8127748,tertiary,0.3
26.9169267,75.8100636,tertiary,0.3
26.9136643,75.8095967,tertiary,0.3
26.9155359,75.8004382,tertiary,0.3
26.9145962,75.8057654,tertiary,0.3
26.9154922,75.8011285,tertiary,0.3
26.9157653,75.7994196,tertiary,0.3
26.9076778,75.8090091,tertiary,0.3
26.9114168,75.7958946,tertiary,0.3
